/D (x=0.8) X,/D (x=0.8) Y,/CLK (x=0.8) X,/CLK (x=0.8) Y,/Q (x=0.8) X,/Q (x=0.8) Y
1.810035912729882e-07,0.8,1.810035912729882e-07,0.2873018390546227,1.810035912729882e-07,0.8000072650564745
1.810064392993589e-07,0.8,1.810064392993589e-07,0.5151439487093935,1.810064392993589e-07,0.8000034113798882
1.810082196496794e-07,0.8,1.810082196496794e-07,0.6575719743549766,1.810082196496794e-07,0.7999983523316757
1.8101e-07,0.8,1.8101e-07,0.8,1.8101e-07,0.7999880258323214
1.810101086477419e-07,0.8,1.810101086477419e-07,0.8,1.810101086477419e-07,0.7999869942454049
1.810101629716128e-07,0.8,1.810101629716128e-07,0.8,1.810101629716128e-07,0.7999864507615051
1.810102716193547e-07,0.8,1.810102716193547e-07,0.8,1.810102716193547e-07,0.7999852908120006
1.810104889148385e-07,0.8,1.810104889148385e-07,0.8,1.810104889148385e-07,0.799983120545365
1.81010744955211e-07,0.8,1.81010744955211e-07,0.8,1.81010744955211e-07,0.7999809577785295
1.81011257035956e-07,0.8,1.81011257035956e-07,0.8,1.81011257035956e-07,0.7999778957489919
1.81012281197446e-07,0.8,1.81012281197446e-07,0.8,1.81012281197446e-07,0.7999752431038842
1.810143295204261e-07,0.8,1.810143295204261e-07,0.8,1.810143295204261e-07,0.7999773228379795
1.810177788492564e-07,0.8,1.810177788492564e-07,0.8,1.810177788492564e-07,0.7999877811383732
1.81022207481812e-07,0.8,1.81022207481812e-07,0.8,1.81022207481812e-07,0.7999989553311474
1.810281243918e-07,0.8,1.810281243918e-07,0.8,1.810281243918e-07,0.8000090451320816
1.810326551109917e-07,0.8,1.810326551109917e-07,0.8,1.810326551109917e-07,0.8000146392257068
1.810374835867599e-07,0.8,1.810374835867599e-07,0.8,1.810374835867599e-07,0.8000209734905006
1.810415607824005e-07,0.8,1.810415607824005e-07,0.8,1.810415607824005e-07,0.8000267439060935
1.810457895837961e-07,0.8,1.810457895837961e-07,0.8,1.810457895837961e-07,0.800022127843795
1.810507857636354e-07,0.8,1.810507857636354e-07,0.8,1.810507857636354e-07,0.8000102955769576
1.810560500475709e-07,0.8,1.810560500475709e-07,0.8,1.810560500475709e-07,0.7999936946332578
1.810601647272918e-07,0.8,1.810601647272918e-07,0.8,1.810601647272918e-07,0.7999773540189856
1.810632921313999e-07,0.8,1.810632921313999e-07,0.8,1.810632921313999e-07,0.799953047783189
1.810666608573851e-07,0.8,1.810666608573851e-07,0.8,1.810666608573851e-07,0.7999305874790407
1.810703890429488e-07,0.8,1.810703890429488e-07,0.8,1.810703890429488e-07,0.7999330140513843
1.810734471579111e-07,0.8,1.810734471579111e-07,0.8,1.810734471579111e-07,0.7999559648926178
1.810767482741326e-07,0.8,1.810767482741326e-07,0.8,1.810767482741326e-07,0.7999848740785301
1.810808982509307e-07,0.8,1.810808982509307e-07,0.8,1.810808982509307e-07,0.8000138101679688
1.810866185559604e-07,0.8,1.810866185559604e-07,0.8,1.810866185559604e-07,0.800033005237499
1.810938194414421e-07,0.8,1.810938194414421e-07,0.8,1.810938194414421e-07,0.8000314979964787
1.811040755616996e-07,0.8,1.811040755616996e-07,0.8,1.811040755616996e-07,0.800015679333701
1.811183604114783e-07,0.8,1.811183604114783e-07,0.8,1.811183604114783e-07,0.8000005220025481
