/CK X,/CK Y,/D X,/D Y,/QD X,/QD Y
1.925258182545091e-09,0,1.925258182545091e-09,0,1.925258182545091e-09,1.407966079250839e-07
1.93346257264267e-09,0,1.93346257264267e-09,0,1.93346257264267e-09,-2.802564427775101e-08
1.943375768634225e-09,0,1.943375768634225e-09,0,1.943375768634225e-09,-1.638008207910998e-07
1.952593433831216e-09,0,1.952593433831216e-09,0,1.952593433831216e-09,-6.149929864874667e-09
1.961175273474519e-09,0,1.961175273474519e-09,0,1.961175273474519e-09,1.048005956594612e-07
1.971324182061857e-09,0,1.971324182061857e-09,0,1.971324182061857e-09,7.690593464575394e-08
1.985212130246883e-09,0,1.985212130246883e-09,0,1.985212130246883e-09,7.327175879867019e-08
2.005652442089023e-09,0,2.005652442089023e-09,0,2.005652442089023e-09,4.237142032381229e-08
2.036940818458614e-09,0,2.036940818458614e-09,0,2.036940818458614e-09,5.439236385664434e-08
2.087048537199513e-09,0,2.087048537199513e-09,0,2.087048537199513e-09,4.464595080990693e-08
2.150544758013114e-09,0,2.150544758013114e-09,0,2.150544758013114e-09,5.299454032666233e-08
2.234300074858962e-09,0,2.234300074858962e-09,0,2.234300074858962e-09,4.560415450348004e-08
2.317150037429481e-09,0,2.317150037429481e-09,0,2.317150037429481e-09,5.224362441308117e-08
2.4e-09,0,2.4e-09,0,2.4e-09,4.629156571223234e-08
2.4000390625e-09,0,2.4000390625e-09,0.003125000000020088,2.4000390625e-09,4.903374728461444e-08
2.400117187500001e-09,0,2.400117187500001e-09,0.009375000000060262,2.400117187500001e-09,5.565941918638491e-08
2.400156250000001e-09,0,2.400156250000001e-09,0.01250000000008035,2.400156250000001e-09,6.164587332591783e-08
2.400234375000001e-09,0,2.400234375000001e-09,0.01875000000012052,2.400234375000001e-09,7.168177484263791e-08
2.400370566502728e-09,0,2.400370566502728e-09,0.02964532021826157,2.400370566502728e-09,8.188251803578749e-08
2.400617344574161e-09,0,2.400617344574161e-09,0.0493875659328978,2.400617344574161e-09,1.055763419427251e-07
2.401109406039761e-09,0,2.401109406039761e-09,0.08875248318084779,2.401109406039761e-09,1.309452258342957e-07
2.402064427477026e-09,0,2.402064427477026e-09,0.1651541981620722,2.402064427477026e-09,1.468540665446974e-07
2.403838290957229e-09,0,2.403838290957229e-09,0.3070632765783539,2.403838290957229e-09,9.534790875838383e-08
2.406437281730799e-09,0,2.406437281730799e-09,0.5149825384638896,2.406437281730799e-09,-1.480154193624864e-09
2.408218640865399e-09,0,2.408218640865399e-09,0.6574912692319352,2.408218640865399e-09,-4.504418407073372e-08
2.41e-09,0,2.41e-09,0.8,2.41e-09,-6.31716690554562e-08
